CNPJ;Nome;UF do sancionado;Motivo do impedimento;Órgão;Nº do Convênio
07.138.118/0001-20;ABC ACADEMIA BRASILEIRA DE CORDEL;CE;NAO APRESENTACAO DE DOCUMENTACAO COMPLEMENTAR;Ministério da Cidadania - Unidades com vínculo direto;524515
05.500.065/0001-10;ACADEMIA DE CIENCIAS E ARTES;CE;MOTIVO NÃO ESPECIFICADO;Ministério da Agricultura, Pecuária e Abastecimento - Unidades com vínculo direto;738590
04.310.136/0001-59;ADRI - AGENCIA DE DESENVOLVIMENTO DA REGIAO DE IRECE;BA;INSTAURACAO DE TOMADA DE CONTAS ESPECIAL;Ministério do Desenvolvimento Regional - Unidades com vínculo direto;431730
14.344.337/0001-20;ADSABA NUCLEO DE PESQUISA TEATRAL;AC;NAO APRESENTACAO DE DOCUMENTACAO COMPLEMENTAR;Ministério da Cidadania - Unidades com vínculo direto;366994
07.104.896/0001-06;AERO CLUBE DO CEARA;CE;MOTIVO NÃO ESPECIFICADO;Ministério dos Transportes, Portos e Aviação Civil - Unidades com vínculo direto;717887
04.747.203/0001-05;AGENCIA DE DESENVOLVIMENTO DA MESORREGIAO CHAPADA DAS MANGABEIRAS;BA;INSTAURACAO DE TOMADA DE CONTAS ESPECIAL;Ministério do Desenvolvimento Regional - Unidades com vínculo direto;435550
04.895.789/0001-47;AGENCIA DE DESENVOLVIMENTO LOCAL E SOCIOECONOMIA SOLIDARIA - FUNDESOL;CE;NAO APRESENTACAO DA PRESTACAO DE CONTAS;Ministério da Mulher, Família e Direitos Humanos - Unidades com vínculo direto;543319
07.061.140/0001-19;AGENCIA NACIONAL DE GESTAO DE RECURSOS PARA A HILEIA AMAZONICA-ANGRHAMAZONICA;AM;NAO APRESENTACAO DE DOCUMENTACAO COMPLEMENTAR;Ministério da Cidadania - Unidades com vínculo direto;611249
07.061.140/0001-19;AGENCIA NACIONAL DE GESTAO DE RECURSOS PARA A HILEIA AMAZONICA-ANGRHAMAZONICA;AM;IRREGULARIDADE NA EXECUCAO FIS. E FINANCEIRA;Ministério do Turismo - Unidades com vínculo direto;629863
04.167.583/0001-09;AGENCIA PARA A PROMOCAO DO DESENVOLVIMENTO SUSTENTADO;BA;MOTIVO NÃO ESPECIFICADO;Ministério do Turismo - Unidades com vínculo direto;702340
04.167.583/0001-09;AGENCIA PARA A PROMOCAO DO DESENVOLVIMENTO SUSTENTADO;BA;MOTIVO NÃO ESPECIFICADO;Ministério do Turismo - Unidades com vínculo direto;703759
04.282.326/0001-00;AGENCIA REGIONAL DE AGRONEGOCIOS DA AGRICULTURA FAMILIAR DO SUL DA BAHIA;BA;INSTAURACAO DE TOMADA DE CONTAS ESPECIAL;Ministério da Agricultura, Pecuária e Abastecimento - Unidades com vínculo direto;425101
04.857.822/0001-44;AGENCIA REGIONAL DE COMERCIALIZACAO DO ALTO SOLIMOES;AM;TEVE A PRESTACAO DE CONTAS IMPUGNADA;Ministério da Agricultura, Pecuária e Abastecimento - Unidades com vínculo direto;457863
04.813.454/0001-32;AGENCIA REGIONAL DE COMERCIALIZAO DO LITORAL NORTE DE ALAGOAS;AL;IRREGULARIDADE NA EXECUCAO FINANCEIRA;Ministério da Agricultura, Pecuária e Abastecimento - Unidades com vínculo direto;465685
05.677.700/0001-39;ALDEIA BAHIA BRASIL - ABB;BA;NAO APRESENTACAO DE DOCUMENTACAO COMPLEMENTAR;Ministério da Cidadania - Unidades com vínculo direto;617714
01.566.804/0001-15;APAE DE MEDEIROS NETO;BA;IRREGULARIDADE NA EXECUCAO FINANCEIRA;Ministério da Educação - Unidades com vínculo direto;512412
01.394.780/0001-64;APAE DE PRADO-BA;BA;INSTAURACAO DE TOMADA DE CONTAS ESPECIAL;Ministério da Educação - Unidades com vínculo direto;481993
05.496.570/0001-38;ARCO SERTAO BAHIA;BA;NAO APRESENTACAO DA PRESTACAO DE CONTAS;Ministério da Agricultura, Pecuária e Abastecimento - Unidades com vínculo direto;651506
02.825.616/0001-27;ASS BRASILEIRA PARA O USO SUSTENTAVEL DA BIODIVERSIDADE DA AMAZONIA-BIOAMAZONIA;AM;NAO EXECUTOU TOTALMENTE O OBJETO PACTUADO;Ministério do Meio Ambiente - Unidades com vínculo direto;425382
00.888.242/0001-63;ASS COM DOS PROD RURAIS RIO VERDE E LAGOA DE SAO JOAO;BA;NAO APRESENTACAO DA PRESTACAO DE CONTAS;Ministério da Agricultura, Pecuária e Abastecimento - Unidades com vínculo direto;317914
10.799.633/0001-65;ASS DE DESENVOLVIMENTO COMUNITARIO DE PORTO DE PEDRAS;AL;O CONVENENTE TEVE SUA P.C. APROVADA;Ministério da Agricultura, Pecuária e Abastecimento - Unidades com vínculo direto;732251
07.802.697/0001-63;ASSOC DE PROT E ASSIST A MATERN E A INF DE SEN POMPEU;CE;INSTAURACAO DE TOMADA DE CONTAS ESPECIAL;Ministério da Saúde - Unidades com vínculo direto;546671
07.802.697/0001-63;ASSOC DE PROT E ASSIST A MATERN E A INF DE SEN POMPEU;CE;INSTAURACAO DE TOMADA DE CONTAS ESPECIAL;Ministério da Saúde - Unidades com vínculo direto;617973
07.138.522/0001-01;ASSOC DE PROTECAO A SAUDE MATERNIDADE A INF DE CAUCAIA;CE;INSTAURACAO DE TOMADA DE CONTAS ESPECIAL;Ministério da Saúde - Unidades com vínculo direto;748255
05.876.425/0001-82;ASSOC. MULHERES INTER-RACIAIS GUERREIRAS DO ALTO SOLIM.-AMIGAS;AM;NAO APRESENTACAO DE DOCUMENTACAO COMPLEMENTAR;Ministério da Cidadania - Unidades com vínculo direto;558165
01.926.020/0001-50;ASSOC.COMUNITTARIA E DE DESENVOLIVIMENTO A. RIACHOENSE;BA;NAO APRESENTACAO DE DOCUMENTACAO COMPLEMENTAR;Ministério do Turismo - Unidades com vínculo direto;527741
01.923.684/0001-66;ASSOC.DA ESCOLA DAS FAMILIAS AGRIC.DA PERIM.NORTE-AEFAPEN;AP;NAO EXECUTOU TOTALMENTE O OBJETO PACTUADO;Ministério da Agricultura, Pecuária e Abastecimento - Unidades com vínculo direto;570879
02.445.796/0001-11;ASSOCIACAO AGRO-EXTRATIVISTA DE AUATI-PARANA;AM;NAO APRESENTACAO DE DOCUMENTACAO COMPLEMENTAR;Ministério do Meio Ambiente - Unidades com vínculo direto;538570
04.663.966/0001-60;ASSOCIACAO AGROPASTORIL QUILOMBOLA DE TIJUACU E ADJACENCIAS;BA;INSTAURACAO DE TOMADA DE CONTAS ESPECIAL;Ministério da Mulher, Família e Direitos Humanos - Unidades com vínculo direto;572820
01.848.088/0001-69;ASSOCIACAO AMERINDIA COOPERACAO SOLIDARIA COM OS POVOS;AM;IRREGULARIDADE NA EXECUCAO FINANCEIRA;Ministério da Mulher, Família e Direitos Humanos - Unidades com vínculo direto;347320
00.394.717/0001-65;ASSOCIACAO BAHIANA DOS ARTISTAS INDEPENDENTES;BA;NAO APRESENTACAO DE DOCUMENTACAO COMPLEMENTAR;Ministério da Cidadania - Unidades com vínculo direto;585738
03.840.666/0001-46;ASSOCIACAO BAIANA DE AQUICULTURA E SAUDE - ABAQ;BA;IRREGULARIDADE NA EXECUCAO FIS. E FINANCEIRA;Ministério da Agricultura, Pecuária e Abastecimento - Unidades com vínculo direto;517868
14.503.411/0001-04;ASSOCIACAO BAIANA DOS CRIADORES;BA;INSTAURACAO DE TOMADA DE CONTAS ESPECIAL;Ministério da Agricultura, Pecuária e Abastecimento - Unidades com vínculo direto;488261
15.678.568/0001-33;ASSOCIACAO BAIANA DOS HEMOFILICOS;BA;INSTAURACAO DE TOMADA DE CONTAS ESPECIAL;Ministério da Saúde - Unidades com vínculo direto;434809
07.271.240/0001-70;ASSOCIACAO BENEFICENTE CEARENSE DE REABILITACAO ABCR;CE;INSTAURACAO DE TOMADA DE CONTAS ESPECIAL;Ministério da Saúde - Unidades com vínculo direto;520784
07.271.240/0001-70;ASSOCIACAO BENEFICENTE CEARENSE DE REABILITACAO ABCR;CE;INSTAURACAO DE TOMADA DE CONTAS ESPECIAL;Ministério da Saúde - Unidades com vínculo direto;507105
